"","V1","V2","V3"
"1","none","0.75","0.4929577"
"2","none","0.7083333","0.4125874"
"3","none","0.7291667","0.4526316"
"4","none","0.6458333","0.2791519"
"5","none","0.6875","0.3639576"
"6","none","0.625","0.2394366"
"7","none","0.7708333","0.5335689"
"8","none","0.6875","0.3684211"
"9","none","0.7708333","0.5368421"
"10","none","0.8541667","0.7052632"
"11","none","0.7708333","0.5368421"
"12","none","0.6875","0.3684211"
"13","none","0.7083333","0.4084507"
"14","none","0.75","0.4965035"
"15","none","0.75","0.4929577"
"16","none","0.7083333","0.4084507"
"17","none","0.8125","0.6210526"
"18","none","0.7291667","0.4448399"
"19","none","0.6458333","0.2842105"
"20","none","0.7708333","0.5400697"
"21","none","0.75","0.4929577"
"22","none","0.8333333","0.6619718"
"23","none","0.7291667","0.4487633"
"24","none","0.7708333","0.5335689"
"25","none","0.7083333","0.4084507"
"26","none","0.6666667","0.3239437"
"27","none","0.6875","0.3684211"
"28","none","0.6875","0.3594306"
"29","none","0.6875","0.3684211"
"30","none","0.7083333","0.4084507"
"31","none","0.75","0.4893617"
"32","none","0.6458333","0.2740214"
"33","none","0.6458333","0.2740214"
"34","none","0.7083333","0.4125874"
"35","none","0.625","0.2394366"
"36","none","0.75","0.4965035"
"37","none","0.7708333","0.5368421"
"38","none","0.6666667","0.3191489"
"39","none","0.7291667","0.4487633"
"40","none","0.6458333","0.2740214"
"41","none","0.625","0.2394366"
"42","none","0.7291667","0.4487633"
"43","none","0.7291667","0.4526316"
"44","none","0.7291667","0.4487633"
"45","none","0.7291667","0.4487633"
"46","none","0.6875","0.3684211"
"47","none","0.7916667","0.5774648"
"48","none","0.7083333","0.4084507"
"49","none","0.7708333","0.5335689"
"50","none","0.8333333","0.6595745"
"51","none","0.6458333","0.2842105"
"52","none","0.6666667","0.3239437"
"53","none","0.625","0.25"
"54","none","0.8125","0.6236934"
"55","none","0.6875","0.3684211"
"56","none","0.75","0.4929577"
"57","none","0.75","0.4893617"
"58","none","0.7291667","0.4487633"
