"","V1","V2","V3"
"1",0.37701,0.14797,0.10695
"2",0.35319,0.1586,0.1275
"3",0.31439,0.14866,0.13687
"4",0.35436,0.15805,0.11087
"5",0.36529,0.1698,0.11505
"6",0.31319,0.15647,0.13309
"7",0.3773,0.15391,0.10942
"8",0.3773,0.1388,0.11385
"9",0.33412,0.14404,0.11175
"10",0.38897,0.14845,0.11128
"11",0.30645,0.16382,0.12796
"12",0.31046,0.1439,0.12992
"13",0.3464,0.16181,0.10864
"14",0.35673,0.14884,0.11554
"15",0.35898,0.15537,0.12607
"16",0.33808,0.15008,0.11482
"17",0.37753,0.15073,0.12898
"18",0.35085,0.15627,0.10507
"19",0.3471,0.15192,0.1168
"20",0.38078,0.14933,0.11902
"21",0.32326,0.16345,0.12345
"22",0.38682,0.16184,0.11058
"23",0.32279,0.13915,0.12704
"24",0.36504,0.15451,0.12003
"25",0.33454,0.15781,0.11405
"26",0.34691,0.15027,0.12594
"27",0.34464,0.14324,0.13346
"28",0.36043,0.15812,0.11545
"29",0.34315,0.15779,0.11565
"30",0.32816,0.15844,0.11962
"31",0.33989,0.14123,0.12169
"32",0.34225,0.15294,0.12817
"33",0.34225,0.15294,0.12817
"34",0.35458,0.14746,0.12531
"35",0.36531,0.16202,0.10943
"36",0.34258,0.1381,0.13169
"37",0.32738,0.16376,0.1244
"38",0.35538,0.15854,0.11554
"39",0.32279,0.13915,0.12704
"40",0.34225,0.15294,0.12817
"41",0.36531,0.16202,0.10943
"42",0.3255,0.1569,0.13375
"43",0.37864,0.15172,0.11077
"44",0.28818,0.15001,0.14263
"45",0.37359,0.15799,0.10756
"46",0.36208,0.15498,0.11454
"47",0.36571,0.15327,0.11428
"48",0.33239,0.15129,0.12819
"49",0.36504,0.15451,0.12003
"50",0.35141,0.13461,0.11756
"51",0.34465,0.15795,0.12294
"52",0.34059,0.17164,0.10557
"53",0.32379,0.15388,0.12468
"54",0.36692,0.15281,0.12924
"55",0.35236,0.14165,0.12281
"56",0.32326,0.16345,0.12345
"57",0.33989,0.14123,0.12169
"58",0.36146,0.17628,0.11413
"59",0.35584,0.17239,0.11077
"60",0.3198,0.14595,0.13399
"61",0.3201,0.15711,0.11099
"62",0.32816,0.15844,0.11962
"63",0.33697,0.16496,0.12065
"64",0.34652,0.1577,0.10857
"65",0.35825,0.16384,0.10917
"66",0.33454,0.15781,0.11405
"67",0.39258,0.1416,0.10887
"68",0.32379,0.15388,0.12468
"69",0.31802,0.16791,0.12034
"70",0.35319,0.1586,0.1275
"71",0.35783,0.1392,0.11118
"72",0.38378,0.14163,0.11861
"73",0.3174,0.16693,0.11888
"74",0.34652,0.1577,0.10857
"75",0.35627,0.17129,0.11629
"76",0.3357,0.1605,0.12268
"77",0.30242,0.14222,0.12636
"78",0.34478,0.15503,0.12646
"79",0.34936,0.1466,0.12783
"80",0.34826,0.16157,0.12034
"81",0.30243,0.15336,0.12899
"82",0.31,0.16001,0.13305
"83",0.35436,0.15805,0.11087
"84",0.34465,0.15795,0.12294
"85",0.37554,0.15924,0.11453
"86",0.30382,0.15657,0.1341
"87",0.35155,0.1475,0.11998
"88",0.34239,0.15662,0.13065
"89",0.32742,0.17886,0.11559
"90",0.3358,0.15635,0.13085
"91",0.3471,0.15192,0.1168
"92",0.37701,0.14797,0.10695
"93",0.31483,0.17022,0.1359
"94",0.33321,0.16717,0.11344
"95",0.40879,0.16109,0.10954
"96",0.30945,0.16939,0.12666
"97",0.31319,0.15647,0.13309
"98",0.371,0.17856,0.12183
"99",0.33239,0.15129,0.12819
"100",0.35434,0.1484,0.12496
"101",0.35332,0.14673,0.11787
"102",0.37605,0.1537,0.1159
"103",0.32956,0.16535,0.12241
"104",0.36662,0.14956,0.11371
"105",0.34718,0.14157,0.11946
"106",0.3607,0.15636,0.12519
"107",0.36162,0.15072,0.12497
"108",0.34936,0.1466,0.12783
"109",0.33356,0.15293,0.12556
"110",0.34225,0.15294,0.12817
"111",0.34652,0.1577,0.10857
"112",0.31434,0.14135,0.13184
"113",0.35673,0.14884,0.11554
"114",0.33429,0.17213,0.11874
"115",0.33995,0.14915,0.12496
"116",0.36674,0.1483,0.11594
"117",0.32307,0.16017,0.12336
"118",0.36068,0.15559,0.1341
"119",0.32319,0.13534,0.12268
"120",0.36068,0.15559,0.1341
"121",0.32327,0.15523,0.13628
"122",0.356,0.16883,0.11946
"123",0.36674,0.1483,0.11594
"124",0.34826,0.16157,0.12034
"125",0.34691,0.15027,0.12594
"126",0.30956,0.17356,0.13152
"127",0.38894,0.15512,0.11016
"128",0.36709,0.16119,0.11373
"129",0.33525,0.15693,0.1171
"130",0.34439,0.16206,0.12987
"131",0.33366,0.16589,0.11092
"132",0.34627,0.14462,0.1179
"133",0.38897,0.14845,0.11128
"134",0.37554,0.15924,0.11453
"135",0.33995,0.14915,0.12496
"136",0.32758,0.1566,0.11629
"137",0.36397,0.1709,0.10591
"138",0.35898,0.15537,0.12607
"139",0.36689,0.15937,0.11614
"140",0.34463,0.16847,0.12945
"141",0.33038,0.16306,0.12298
"142",0.32556,0.15873,0.12382
"143",0.35783,0.1392,0.11118
"144",0.35332,0.14673,0.11787
"145",0.37502,0.14574,0.11901
"146",0.371,0.17856,0.12183
"147",0.32758,0.1566,0.11629
"148",0.38078,0.14933,0.11902
"149",0.35836,0.15072,0.12309
"150",0.33995,0.17891,0.1183
"151",0.36899,0.15501,0.11342
"152",0.37147,0.16055,0.11333
"153",0.35969,0.15743,0.12091
"154",0.30242,0.14222,0.12636
"155",0.35825,0.16384,0.10917
"156",0.31046,0.1439,0.12992
"157",0.32091,0.16051,0.12895
