ID,Age,Sex,Education-quantised,ICAR,ComLadder,NatLadder,Insense,Persuade,Persec,SocRef
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
1,35,Female,4,6,20,40,12,11,3,7
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
2,40,Male,2,2,2,4,19,29,33,27
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
3,31,Male,2,8,28,23,16,12,1,3
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
4,20,Female,4,10,74,64,19,14,4,12
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
5,33,Male,2,9,50,55,15,8,0,5
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
6,35,Female,4,5,50,70,7,6,1,6
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
7,21,Female,3,2,33,66,28,18,0,1
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
8,30,Female,3,6,38,50,20,20,7,23
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
9,27,Male,3,9,71,57,23,17,11,16
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
10,33,Male,3,9,52,57,9,6,0,2
11,26,Male,3,2,50,30,16,16,9,9
