"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"ICAR",0.000830447066863441,0.000528414708664404,0.00317360978490993,0.000458471239618993,0.00182473918406095,0.00087365169170338,0.000314992636430757,0.0007460949823189,1.7949051799662e-05
"Gullibility",0.0016077773727302,0.00120194100479512,0.000230816721008696,0.00195297628337358,0.000186637835218866,0.000685756909411838,0.000645879497581737,3.63242806425007e-05,0.00267944416241691
"Credulity",0.00156753806485986,0.00176012420126935,0.000169617164288796,0.00122544875634278,0.000377641363851294,2.56932861806138e-05,0.000663181883191618,0.00159213385054565,0.00240755457291932
"Mistrust",0.00124383291967494,0.00167562081928716,0.000538169811969726,0.000408635340445752,0.00152112455002143,0.00211416792773352,0.00186327966368769,0.000447642439211475,0.000856063179968222
"Trust",0.00042202355512701,0.00260029725129399,0.000986623129985015,0.00168289826856889,0.00136538428278888,0.000531344422696623,0.00138149424475809,0.000766759574205873,0.00078213222200817
"Social Intelligence",0.00174627282340849,4.80556221737587e-05,0.000700176122260815,0.000234860648214209,0.00145866866227802,0.000358821879346482,0.00125291873796106,0.00283749841429683,0.000724669396799666
"McA-SL",0.00132957909201161,0.000989964232594753,0.000213410115136219,0.00164471406302191,0.000875316562010036,0.00282517141441592,0.00072037039360463,0.00105384054891095,0.00035252803980849
"Autism",0.00117710956137534,0.000716531974468931,0.00179328679346111,0.00210306932807488,0.00135954823034315,0.00123487006304562,0.00107848733663451,0.00123253609536763,0.00063769997874427
"Paranoia",0.00152976257496717,0.000336260304784369,0.000911830379971886,0.000540082594531737,0.00189011146546729,0.000615244976491655,0.0025321133163418,0.00119904388905138,0.000789480711128696
"ICAR",0.000469582414170714,0.00108319530707004,0.00236919942361698,0.00241307898576143,0.00121724121860575,0.00105902450856841,0.000593974485505428,0.000460727826130608,4.28867045685135e-05
"Gullibility",0.00164003400127756,0.0016491343716605,0.000873943258233778,0.000759017451166067,0.000130043361005397,0.000888376708111936,0.000171772255673659,0.000384943648393132,0.00287523011558375
"Credulity",0.0015394167085047,0.00179924787835282,0.000355799145521803,0.000737102333090759,0.00111800618682441,0.0012170982900881,6.73992353716779e-05,0.000457067407159397,0.00260351128964105
"Mistrust",0.00128986128288244,0.00160693393685869,0.000446938111187925,0.000763704767892914,0.00220223710629367,0.00084510610596206,0.00184531611342172,0.00138593876689589,0.000284520858722583
"Trust",0.000340409323633822,0.00240757812090812,0.00181185389006707,0.00018280449384706,0.000159134736428393,0.00202983063542114,0.000984306451301121,0.00128633173201244,4.91151147655202e-05
"Social Intelligence",0.001713961364562,0.000348930779578735,0.00048077047043024,0.00126061852459631,0.00124194042038418,0.000986092722988283,0.000966955627919676,0.00275981466959752,0.000232183933665863
"McA-SL",0.00153362148929349,0.000336984245378993,0.000845258274610385,0.000932094605490209,0.00219946898120713,0.00118112345347623,0.00192850793505619,0.00122503656426461,0.000706123920114883
"Autism",0.000991736753071625,0.000206070560208055,0.00224332319357463,0.00228588349450552,0.00140243773384716,0.000428264945593927,0.000172936044520907,0.00149119362116945,0.000558948193740627
"Paranoia",0.00163314303501214,0.000461850182562556,0.000189354956413409,0.00087048104160226,0.000171438517079386,0.00228531542546431,0.00256028167978819,0.000717085798638442,6.80706344877391e-05
"ICAR",0.000560820174723088,0.000612881049650474,0.00255766052086258,0.000262369649902161,0.00211829083480728,0.00169164761319423,0.000440655476348343,0.00106973788687786,0.000109764629649545
"Gullibility",0.00174098283086055,0.00125721213411538,0.00131767614022784,0.00102027099330748,0.000823831996357355,0.000144029226816984,0.000156843713775463,0.000969127674870227,0.00263589095848473
"Credulity",0.00186503772686429,0.00144742914204363,0.000564481187293746,5.92540717186374e-05,0.000617414681827167,0.000483576580108266,0.00146244527434922,0.00040141916523841,0.00268132474263374
"Mistrust",0.00107229493368739,0.00170713768729006,0.000539608274698257,0.00261726147573654,0.000282518471786218,0.000214495352061198,0.00184766945863151,0.000680778756342554,0.000889641884648876
"Trust",1.3703772108781e-05,0.00253085277416256,0.00176033016904602,0.000801559100830582,0.00122032932839499,0.000551425786408613,0.000986247605252921,0.00150915798766549,0.000899900498781263
"Social Intelligence",0.00162754942837108,0.00112921113671616,0.000483180812660248,0.00185915068336728,0.000206826608690243,0.000338726837782105,0.000319743179180407,0.00285050471415082,3.05640804295602e-05
"McA-SL",0.00122375492701551,0.000965414766096146,0.000111961826139115,0.000764476933175468,0.00277092400715375,0.00195379881218924,0.000564605091347171,0.00106587527879028,0.000152378164756353
"Autism",0.0011441871721352,0.000409553346764678,0.00192927768807223,0.000255858350662869,0.00107211764946472,0.00272863605542014,0.000640035132858746,0.00129122949840631,0.000252420902258873
"Paranoia",0.00160325669354568,0.000504312496371476,0.000213101615623797,0.00181323298477749,0.00011700504773377,0.00107523884774991,0.00290262816630362,0.000292500696151761,0.000401715116673301
"ICAR",0.000810693400626028,0.000675156516269053,0.002555224102821,0.00228229751650509,0.00116251781019455,0.000160840059543897,0.00115460799301778,0.000600931647514333,0.000278086448680459
"Gullibility",0.00156254292945481,0.00119245592232467,0.00178013281672597,0.000427548346157219,0.000426171543967834,0.00109128140373003,8.07400463914023e-05,0.000579904734536095,0.00265885544740468
"Credulity",0.00145209686329361,0.00183895346844955,0.0012995910220325,0.000133088039647492,0.000226090401505231,0.000939106504935446,0.000661126592509711,0.00118387764919713,0.00245587520708782
"Mistrust",0.00114644270900599,0.00182322191369158,0.00070199184613974,0.000438370567832463,0.00096341159102778,0.00259588584361386,0.00149555918347226,0.000269951089664466,0.000836787662870699
"Trust",0.000539774185584854,0.00233440118614734,0.000813097378788533,0.000333257386577732,0.00265685989010226,0.000337624926194956,0.000896152660528129,0.00105252613137714,0.000635004868456155
"Social Intelligence",0.00179777054300851,0.00031590898632611,0.000278364814738955,0.000983320305487209,0.00074315513236161,0.00129079558092064,0.00125620239794716,0.00271764045345894,0.00066465774080864
"McA-SL",0.00131922953190245,0.00132367051310639,0.000658219070394347,0.000124850631595661,0.00218146690241719,0.00194701215929793,0.000327044097954615,0.00175634200477222,0.000563329846110222
"Autism",0.00104299323177571,0.000303718235927593,0.00166610362992697,0.00285442363417643,0.000679097830027481,0.00106520327561328,0.000559686097272826,0.00104881504510155,0.000941908358173521
"Paranoia",0.00176827121287026,0.000150826942336056,0.00041528254817612,0.00107570349277442,0.000810244196050674,0.00067604204239705,0.00303071532145617,0.00107239015602153,0.000268488445281997
"ICAR",0.000484452876429867,0.00118813987107168,0.00285760854697771,0.00172949671300708,0.00139730102255965,0.000723760864837605,0.00021690091060175,0.00082033876496703,1.61844920230138e-05
"Gullibility",0.00161635313158196,0.00135941088271616,0.00114948009112867,0.00119466041784162,0.000698375780346391,7.89445695160889e-05,0.000667224943364446,0.00125297542406422,0.00250634975574684
